127.0.0.1 - - [28/Sep/2018:20:34:29 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:34:41 +0800] "GET /JspDemo1/NewFile.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:34:58 +0800] "GET /JspDemo1/NewFile.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:36:36 +0800] "GET /JspDemo1/JSP%E5%86%85%E7%BD%AE%E5%AF%B9%E8%B1%A1/Main.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:37:04 +0800] "GET /JspDemo1/JSP%E5%86%85%E7%BD%AE%E5%AF%B9%E8%B1%A1/Main.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:37:30 +0800] "GET /JspDemo1/JSP%E5%86%85%E7%BD%AE%E5%AF%B9%E8%B1%A1/Main.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:37:57 +0800] "GET /JspDemo1/NewFile.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:39:24 +0800] "GET /JspDemo1/JSP%E5%86%85%E7%BD%AE%E5%AF%B9%E8%B1%A1/Main.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:40:40 +0800] "GET /JspDemo1/NewFile.jsp HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:40:56 +0800] "POST /JspDemo1/logincheck.jsp HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:41:40 +0800] "GET /JspDemo1/JSP%E5%86%85%E7%BD%AE%E5%AF%B9%E8%B1%A1/Main.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:42:14 +0800] "GET /JspDemo1/JSP%E5%86%85%E7%BD%AE%E5%AF%B9%E8%B1%A1/Main.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:42:41 +0800] "GET /JspDemo1/main.jsp HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:42:50 +0800] "GET /JspDemo1/JSP%E5%86%85%E7%BD%AE%E5%AF%B9%E8%B1%A1/main.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:43:03 +0800] "GET /JspDemo1/JSP%E5%86%85%E7%BD%AE%E5%AF%B9%E8%B1%A1/main.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:43:15 +0800] "GET /JspDemo1/JSP%E5%86%85%E7%BD%AE%E5%AF%B9%E8%B1%A1/main.jsp HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [28/Sep/2018:20:43:23 +0800] "GET /JspDemo1/main.jsp HTTP/1.1" 200 1269
