127.0.0.1 - - [29/Oct/2018:06:47:18 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/ HTTP/1.1" 200 6565
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/ismain.css HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/pageJs/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/img/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/img/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/img/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/img/44.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/img/55.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/img/66.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/img/77.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/css/lun.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/back.png HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/Picture/top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:47:19 +0800] "GET /httpServletDemo/Picture/centerOfcenter.jpg HTTP/1.1" 304 -
